"canyon","bout","plot","treatment","transect","shrub.1","shrub.2","shrub.3","shrub.4","herb.1","herb.2","herb.3","herb.4","herb.5","herb.6","herb.7","herb.8"
"pilarcitos","6","3","browsed","1","bapi",,,,"brdi","femy","gemo",,,,,
"pilarcitos","6","3","browsed","1",,,,,"brho","anar","femy","gemo","brdi",,,
"pilarcitos","6","3","browsed","1",,,,,"aica","brdi","brho","stpu",,,,
"pilarcitos","6","3","browsed","1",,,,,"brdi","stpu","bapi","gemo",,,,
"pilarcitos","6","3","browsed","1",,,,,"brdi","stpu","gemo",,,,,
"pilarcitos","6","3","browsed","1","bapi",,,,"brdi","brho","stpu",,,,,
"pilarcitos","6","3","browsed","1","bapi",,,,"aica","femy","brdi",,,,,
"pilarcitos","6","3","browsed","1","bapi",,,,"tran","stpu","brdi",,,,,
"pilarcitos","6","3","browsed","1","bapi",,,,"stpu","brho","femy",,,,,
"pilarcitos","6","3","browsed","1",,,,,"brdi","stpu","brho","sool",,,,
"pilarcitos","6","3","browsed","1","bapi",,,,"brdi","brho",,,,,,
"pilarcitos","6","3","browsed","1","bapi",,,,"vite","brho","brdi","femy","gapo","gemo",,
"pilarcitos","6","3","browsed","1",,,,,"ardo","femy","gemo",,,,,
"pilarcitos","6","3","browsed","1",,,,,"femy","brho","gemo","brdi",,,,
"pilarcitos","6","3","browsed","1",,,,,"stpu","brho","femy","gemo",,,,
"pilarcitos","6","3","browsed","1",,,,,"femy","brho","stpu",,,,,
"pilarcitos","6","3","browsed","1",,,,,"stpu","brho","gemo",,,,,
"pilarcitos","6","3","browsed","1","dead",,,,"sacr","brho","femy","stpu",,,,
"pilarcitos","6","3","browsed","1",,,,,"brho","stpu","femy",,,,,
"pilarcitos","6","3","browsed","1",,,,,"stpu","ardo","femy","brdi",,,,
"pilarcitos","6","3","browsed","1","bapi",,,,"femy","stpu",,,,,,
"pilarcitos","6","3","browsed","1","bapi",,,,"gemo","stpu","vite",,,,,
"pilarcitos","6","3","browsed","1","bapi",,,,"stpu","gemo","avba",,,,,
"pilarcitos","6","3","browsed","1","bapi",,,,"vite","gemo","femy",,,,,
"pilarcitos","6","3","browsed","1","bapi",,,,"stpu",,,,,,,
"pilarcitos","6","3","browsed","1","bapi",,,,"stpu",,,,,,,
"pilarcitos","6","3","browsed","1","bapi",,,,"vite","gemo","jusp",,,,,
"pilarcitos","6","3","browsed","1","bapi",,,,"stpu","gemo","brdi","femy",,,,
"pilarcitos","6","3","browsed","1","bapi",,,,"stpu","gemo",,,,,,
"pilarcitos","6","3","browsed","1","bapi",,,,"gemo","stpu",,,,,,
"pilarcitos","6","3","browsed","1","bapi",,,,"stpu","gemo","brho","sacr","femy",,,
"pilarcitos","6","3","browsed","1",,,,,"stpu","brho","ardo",,,,,
"pilarcitos","6","3","browsed","1","bapi",,,,"femy","stpu","brho",,,,,
"pilarcitos","6","3","browsed","1","bapi",,,,"gemo","brho","femy","stpu",,,,
"pilarcitos","6","3","browsed","1","bapi",,,,"ardo","stpu",,,,,,
"pilarcitos","6","3","browsed","1","bapi",,,,"stpu","gemo","ardo","brho","vihi",,,
"pilarcitos","6","3","browsed","1",,,,,"stpu","brho","femy","gemo","ceme",,,
"pilarcitos","6","3","browsed","1",,,,,"stpu","brho","ardo",,,,,
"pilarcitos","6","3","browsed","1","bapi",,,,"stpu","brho","gemo","brdi",,,,
"pilarcitos","6","3","browsed","1","bapi",,,,"stpu","gemo","brho","femy",,,,
